Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-02-20,84.65,86.16,84.16,85.9,22060800.0,0.0,1.0,10.922844604679,11.117688022907,10.859617270286,11.084138825067,154425600.0
2007-02-21,85.98,89.49,85.96,89.2,41261200.0,0.0,1.0,11.094461655171,11.547375826021,11.091880947645,11.509955566891,288828400.0
2007-02-22,90.8,90.81,88.53,89.51,29936600.0,0.0,1.0,11.716412168988,11.717702522751,11.423501864763,11.549956533547,209556200.0
2007-02-23,89.16,90.34,88.85,89.07,18496200.0,0.0,1.0,11.504794151839,11.657055895885,11.464793185182,11.493180967971,129473400.0
2007-02-26,89.84,90.0,87.61,88.65,21994600.0,0.0,1.0,11.59253820773,11.613183867939,11.304789318557,11.43898610992,153962200.0
2007-02-27,86.3,87.08,83.41,83.93,40921900.0,0.0,1.0,11.135752975591,11.236400569113,10.762840738054,10.829939133735,286453300.0
2007-02-28,83.0,85.6,83.0,84.61,32838400.0,0.0,1.0,10.709936233766,11.045428212173,10.709936233766,10.917683189626,229868800.0
2007-03-01,84.03,88.31,83.75,87.06,50554600.0,0.0,1.0,10.842842671366,11.395114081975,10.806712765999,11.233819861587,353882200.0
2007-03-02,86.77,87.54,85.21,85.41,30714300.0,0.0,1.0,11.196399602457,11.295756842216,10.995104415412,11.020911490674,215000100.0
2007-03-05,85.89,88.65,85.76,86.3199,29960700.0,0.0,1.0,11.082848471303,11.43898610992,11.066073872383,11.138320779579,209724900.0
2007-03-06,87.8,88.31,87.4,88.19,25828100.0,0.0,1.0,11.329306040056,11.395114081975,11.277691889532,11.379629836817,180796700.0
2007-03-07,88.05,88.97,87.45,87.72,22367300.0,0.0,1.0,11.361564884134,11.48027743034,11.284143658348,11.318983209952,156571100.0
2007-03-08,88.59,88.72,87.46,88.0,18250400.0,0.0,1.0,11.431243987342,11.448018586262,11.285434012111,11.355113115318,127752800.0
2007-03-09,88.8,88.85,87.4,87.97,16137000.0,0.0,1.0,11.458341416367,11.464793185182,11.277691889532,11.351242054029,112959000.0
2007-03-12,88.07,89.99,87.99,89.87,26050300.0,0.0,1.0,11.36414559166,11.611893514176,11.353822761555,11.596409269019,182352100.0
2007-03-13,89.41,90.6,88.4,88.4,30996100.0,0.0,1.0,11.537052995916,11.690605093726,11.406727265843,11.406727265843,216972700.0
2007-03-14,88.6,90.0,87.92,90.0,28449500.0,0.0,1.0,11.432534341105,11.613183867939,11.344790285214,11.613183867939,199146500.0
2007-03-15,89.96,90.36,89.31,89.57,19982100.0,0.0,1.0,11.608022452887,11.659636603411,11.524149458285,11.557698656126,139874700.0
2007-03-16,89.538,89.99,89.32,89.59,20418000.0,0.0,1.0,11.553569524084,11.611893514176,11.525439812048,11.560279363652,142926000.0
2007-03-19,90.24,91.55,89.59,91.13,25462900.0,0.0,1.0,11.644152358254,11.813188701221,11.560279363652,11.75899384317,178240300.0
2007-03-20,91.35,91.84,91.06,91.48,17461300.0,0.0,1.0,11.787381625958,11.850608960351,11.749961366828,11.804156224879,122229100.0
2007-03-21,91.99,94.0,91.65,93.87,24532000.0,0.0,1.0,11.869964266797,12.129325373181,11.826092238852,12.112550774261,171724000.0
2007-03-22,93.73,94.36,93.0,93.96,20053300.0,0.0,1.0,12.094485821577,12.175778108653,12.000289996871,12.124163958129,140373100.0
2007-03-23,93.35,94.07,93.3,93.52,16103000.0,0.0,1.0,12.045452378579,12.138357849523,12.039000609764,12.067388392552,112721000.0
2007-03-26,93.99,95.9,93.3,95.85,30892400.0,0.0,1.0,12.128035019418,12.374492588171,12.039000609764,12.368040819355,216246800.0
2007-03-27,95.71,96.83,95.0,95.46,33287600.0,0.0,1.0,12.349975866672,12.49449548814,12.258360749492,12.317717022594,233013200.0
2007-03-28,94.88,95.4,93.15,93.24,33654900.0,0.0,1.0,12.242876504334,12.309974900016,12.019645303317,12.031258487185,235584300.0
2007-03-29,94.19,94.19,92.23,93.75,25918700.0,0.0,1.0,12.15384209468,12.15384209468,11.900932757112,12.097066529104,181430900.0
